POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
,Yuzvendra Chahal,,,,,,,,,,,,
113,,2,1,0,8,8,8,8,100,0,0,1,0
,Ajinkya Rahane,,,,,,,,,,,,
114,,7,2,1,8,8*,8,7,114.28,0,0,1,0
,Sandeep Sharma,,,,,,,,,,,,
115,,14,5,5,8,8*,0,14,57.14,0,0,0,1
,Mustafizur Rahman,,,,,,,,,,,,
116,,8,2,2,8,7*,0,8,100,0,0,1,0
,Siddarth Kaul,,,,,,,,,,,,
117,,1,1,0,7,7,7,17,41.17,0,0,0,0
,Sachin Baby,,,,,,,,,,,,
118,,3,2,1,7,7*,7,5,140,0,0,0,1
,Shreyas Gopal,,,,,,,,,,,,
119,,2,2,1,6,3*,6,6,100,0,0,0,0
,Daniel Sams,,,,,,,,,,,,
120,,4,3,2,6,6,6,12,50,0,0,0,0
,Fabian Allen,,,,,,,,,,,,
121,,16,1,1,5,5*,0,3,166.66,0,0,1,0
,Avesh Khan,,,,,,,,,,,,
122,,16,4,2,5,3*,2.5,5,100,0,0,0,0
,Shardul Thakur,,,,,,,,,,,,
123,,3,2,2,4,2*,0,4,100,0,0,0,0
,Harbhajan Singh,,,,,,,,,,,,
124,,5,2,0,4,3,2,5,80,0,0,0,0
,Nathan Coulter-Nile,,,,,,,,,,,,
125,,3,1,0,3,3,3,5,60,0,0,0,0
,Tim Southee,,,,,,,,,,,,
126,,2,1,0,2,2,2,4,50,0,0,0,0
,Navdeep Saini,,,,,,,,,,,,
127,,1,1,1,2,2*,0,4,50,0,0,0,0
,Tabraiz Shamsi,,,,,,,,,,,,
128,,4,2,1,2,1*,2,4,50,0,0,0,0
,Kartik Tyagi,,,,,,,,,,,,
129,,1,1,0,2,2,2,4,50,0,0,0,0
,Tim Seifert,,,,,,,,,,,,
130,,12,2,2,2,1*,0,3,66.66,0,0,0,0
,Arshdeep Singh,,,,,,,,,,,,
131,,5,3,2,2,2*,2,4,50,0,0,0,0
,George Garton,,,,,,,,,,,,
132,,17,3,2,2,2*,2,4,50,0,0,0,0
,Varun Chakaravarthy,,,,,,,,,,,,
133,,1,1,1,1,1*,0,1,100,0,0,0,0
,Mujeeb Ur Rahman,,,,,,,,,,,,
134,,1,1,0,1,1,1,3,33.33,0,0,0,0
,Tim David,,,,,,,,,,,,
135,,7,1,0,1,1,1,2,50,0,0,0,0
,Khaleel Ahmed,,,,,,,,,,,,
136,,2,2,1,1,1*,1,2,50,0,0,0,0
,Wanindu Hasaranga,,,,,,,,,,,,
137,,9,1,0,1,1,1,4,25,0,0,0,0
,Ravi Bishnoi,,,,,,,,,,,,
138,,14,4,4,1,1*,0,4,25,0,0,0,0
,Trent Boult,,,,,,,,,,,,
139,,15,2,2,1,1*,0,1,100,0,0,0,0
,Deepak Chahar,,,,,,,,,,,,
140,,1,1,0,0,0*,0,3,0,0,0,0,0
,Ben Stokes,,,,,,,,,,,,
141,,2,2,0,0,0*,0,3,0,0,0,0,0
,Marco Jansen,,,,,,,,,,,,
142,,1,1,0,0,0*,0,1,0,0,0,0,0
,Shahbaz Nadeem,,,,,,,,,,,,
143,,1,1,0,0,0*,0,2,0,0,0,0,0
,Kamlesh Nagarkoti,,,,,,,,,,,,
144,,10,2,1,0,0*,0,1,0,0,0,0,0
,Prasidh Krishna,,,,,,,,,,,,
145,,1,1,1,0,0*,0,4,0,0,0,0,0
,Kuldip Yadav,,,,,,,,,,,,
146,,2,2,0,0,0*,0,4,0,0,0,0,0
,Sarfaraz Khan,,,,,,,,,,,,
147,,2,1,0,0,0*,0,1,0,0,0,0,0
,Anuj Rawat,,,,,,,,,,,,
148,,3,2,0,0,0*,0,2,0,0,0,0,0
,Jimmy Neesham,,,,,,,,,,,,
149,,1,1,0,0,0*,0,2,0,0,0,0,0
,Piyush Chawla,,,,,,,,,,,,
